YEAR;MO;DY;HOUR;T
2022;1;20;15;2.65
2022;1;20;16;2.436666667
2022;1;20;17;1.085
2022;1;20;18;0.963333333
2022;1;20;19;1.22
2022;1;20;20;0.883333333
2022;1;20;21;0.743333333
2022;1;20;22;0.623333333
2022;1;20;23;0.521666667
2022;1;21;0;0.545
2022;1;21;1;0.591666667
2022;1;21;2;0.55
2022;1;21;3;0.21
2022;1;21;4;-0.136666667
2022;1;21;5;0.143333333
2022;1;21;6;0.231666667
2022;1;21;7;0.375
2022;1;21;8;0.695
2022;1;21;9;1.1
2022;1;21;10;1.733333333
2022;1;21;11;2.46
2022;1;21;12;2.888333333
2022;1;21;13;3.453333333
2022;1;21;14;4.016666667
2022;1;21;15;4.275
2022;1;21;16;4.051666667
2022;1;21;17;3.708333333
2022;1;21;18;3.591666667
2022;1;21;19;3.496666667
2022;1;21;20;3.291666667
2022;1;21;21;3.036666667
2022;1;21;22;2.685
2022;1;21;23;2.571666667
2022;1;22;0;2.651666667
2022;1;22;1;2.585
2022;1;22;2;2.645
2022;1;22;3;2.701666667
2022;1;22;4;2.776666667
2022;1;22;5;2.783333333
2022;1;22;6;2.861666667
2022;1;22;7;2.946666667
2022;1;22;8;3.13
2022;1;22;9;3.32
2022;1;22;10;3.521666667
2022;1;22;11;3.985
2022;1;22;12;4.195
2022;1;22;13;4.311666667
2022;1;22;14;4.443333333
2022;1;22;15;4.42
2022;1;22;16;4.206666667
2022;1;22;17;3.915
2022;1;22;18;3.816666667
2022;1;22;19;3.768333333
2022;1;22;20;3.568333333
2022;1;22;21;3.416666667
2022;1;22;22;3.406666667
2022;1;22;23;3.398333333
2022;1;23;0;3.366666667
2022;1;23;1;3.375
2022;1;23;2;3.258333333
2022;1;23;3;3.158333333
2022;1;23;4;3.121666667
2022;1;23;5;3.026666667
2022;1;23;6;2.983333333
2022;1;23;7;2.983333333
2022;1;23;8;2.996666667
2022;1;23;9;3.143333333
2022;1;23;10;3.483333333
2022;1;23;11;3.981666667
2022;1;23;12;4.031666667
2022;1;23;13;4.225
2022;1;23;14;4.285
2022;1;23;15;4.18
2022;1;23;16;4.061666667
2022;1;23;17;3.923333333
2022;1;23;18;3.663333333
2022;1;23;19;3.49
2022;1;23;20;3.218333333
2022;1;23;21;3.111666667
2022;1;23;22;3.008333333
2022;1;23;23;2.82
2022;1;24;0;2.62
2022;1;24;1;1.941666667
2022;1;24;2;0.7
2022;1;24;3;1.903333333
2022;1;24;4;1.99
2022;1;24;5;1.526666667
2022;1;24;6;1.688333333
2022;1;24;7;1.753333333
2022;1;24;8;1.046666667
2022;1;24;9;1.5
2022;1;24;10;2.188333333
2022;1;24;11;3.271666667
2022;1;24;12;4.715
2022;1;24;13;5.57
2022;1;24;14;6.256666667
2022;1;24;15;5.508333333
2022;1;24;16;4.525
2022;1;24;17;3.326666667
2022;1;24;18;2.581666667
2022;1;24;19;2.028333333
2022;1;24;20;1.38
2022;1;24;21;0.935
2022;1;24;22;0.626666667
2022;1;24;23;0.563333333
2022;1;25;0;0.273333333
2022;1;25;1;0.413333333
2022;1;25;2;-0.328333333
2022;1;25;3;-0.941666667
2022;1;25;4;-1.318333333
2022;1;25;5;-1.503333333
2022;1;25;6;-1.521666667
2022;1;25;7;-1.628333333
2022;1;25;8;-1.805
2022;1;25;9;-1.131666667
2022;1;25;10;-0.511666667
2022;1;25;11;-0.453333333
2022;1;25;12;-0.311666667
2022;1;25;13;0.921666667
2022;1;25;14;0.62
2022;1;25;15;1.195
2022;1;25;16;1.11
2022;1;25;17;0.936666667
2022;1;25;18;0.861666667
2022;1;25;19;0.761666667
2022;1;25;20;0.726666667
2022;1;25;21;0.745
2022;1;25;22;0.813333333
2022;1;25;23;0.79
2022;1;26;0;0.613333333
2022;1;26;1;0.203333333
2022;1;26;2;0.045
2022;1;26;3;-0.145
2022;1;26;4;-0.206666667
2022;1;26;5;-0.371666667
2022;1;26;6;-0.488333333
2022;1;26;7;-0.46
2022;1;26;8;-0.506666667
2022;1;26;9;-0.456666667
2022;1;26;10;-0.071666667
2022;1;26;11;0.321666667
2022;1;26;12;0.503333333
2022;1;26;13;0.47
2022;1;26;14;0.5
2022;1;26;15;0.673333333
2022;1;26;16;0.55
2022;1;26;17;0.41
2022;1;26;18;0.468333333
2022;1;26;19;0.443333333
2022;1;26;20;0.298333333
2022;1;26;21;0.58
2022;1;26;22;0.7
2022;1;26;23;0.446666667
2022;1;27;0;0.405
2022;1;27;1;0.548333333
2022;1;27;2;0.658333333
2022;1;27;3;0.956666667
2022;1;27;4;1.348333333
2022;1;27;5;1.778333333
2022;1;27;6;2.206666667
2022;1;27;7;2.298333333
2022;1;27;8;2.54
2022;1;27;9;3.538333333
2022;1;27;10;3.896666667
2022;1;27;11;4.2
