YEAR;MO;DY;HOUR;P;T
2022.0;1.0;14.0;5.0;284.8813559322034;0.206666667
2022.0;1.0;14.0;6.0;287.135593220339;-0.335
2022.0;1.0;14.0;7.0;323.1864406779661;-0.356666667
2022.0;1.0;14.0;8.0;395.1694915254237;-0.273333333
2022.0;1.0;14.0;9.0;393.1864406779661;-0.075
2022.0;1.0;14.0;10.0;371.8305084745763;1.075
2022.0;1.0;14.0;11.0;343.5593220338983;3.168333333
2022.0;1.0;14.0;12.0;319.50847457627117;4.396666667
2022.0;1.0;14.0;13.0;302.91525423728814;6.783333333
2022.0;1.0;14.0;14.0;298.10169491525426;7.686666667
2022.0;1.0;14.0;15.0;294.40677966101697;7.615
2022.0;1.0;14.0;16.0;304.64406779661016;6.705
2022.0;1.0;14.0;17.0;253.3728813559322;5.435
2022.0;1.0;14.0;18.0;238.84745762711864;4.025
2022.0;1.0;14.0;19.0;277.40677966101697;3.053333333
2022.0;1.0;14.0;20.0;283.20338983050846;2.346666667
2022.0;1.0;14.0;21.0;251.61016949152543;1.991666667
2022.0;1.0;14.0;22.0;291.0;0.755
2022.0;1.0;14.0;23.0;238.47457627118644;-0.815
2022.0;1.0;15.0;0.0;263.40677966101697;-0.95
2022.0;1.0;15.0;1.0;246.40677966101694;-1.431666667
2022.0;1.0;15.0;2.0;263.6271186440678;-1.303333333
2022.0;1.0;15.0;3.0;252.16949152542372;-1.248333333
2022.0;1.0;15.0;4.0;268.20338983050846;-2.15
2022.0;1.0;15.0;5.0;260.76271186440675;-2.491666667
2022.0;1.0;15.0;6.0;266.76271186440675;-2.79
2022.0;1.0;15.0;7.0;267.8474576271187;-3.028333333
2022.0;1.0;15.0;8.0;283.06779661016947;-3.156666667
2022.0;1.0;15.0;9.0;260.5593220338983;-2.735
2022.0;1.0;15.0;10.0;246.5084745762712;-1.196666667
2022.0;1.0;15.0;11.0;233.89830508474577;0.181666667
2022.0;1.0;15.0;12.0;223.83050847457628;1.528333333
2022.0;1.0;15.0;13.0;213.54237288135593;4.916666667
2022.0;1.0;15.0;14.0;199.6271186440678;5.996666667
2022.0;1.0;15.0;15.0;238.0;5.546666667
2022.0;1.0;15.0;16.0;242.4915254237288;4.886666667
2022.0;1.0;15.0;17.0;270.76271186440675;3.095
2022.0;1.0;15.0;18.0;243.22033898305085;2.148333333
2022.0;1.0;15.0;19.0;237.3050847457627;2.906666667
2022.0;1.0;15.0;20.0;267.3898305084746;2.048333333
2022.0;1.0;15.0;21.0;252.45762711864407;2.66
2022.0;1.0;15.0;22.0;253.83050847457628;3.451666667
2022.0;1.0;15.0;23.0;248.9322033898305;1.771666667
